Product_URL,Product_Name,Category,Rating,Description
https://www.decathlon.in/p/8319097/men-waterproof-trekking-shoes-mid-ankle-with-cross-contact-grip-grey-mt100,Men Waterproof Trekking Shoes Mid Ankle with Cross-Contact Grip Grey - MT100,SPORTS FOOTWEAR > Shoes > Waterproof Shoes,,
https://www.decathlon.in/p/8351755/men-running-shoes-everyday-shoes-with-cushioning-ekiden-one-grey,"Men Running Shoes Everyday Shoes with Cushioning, Ekiden One - Grey",SPORTS FOOTWEAR > Shoes > Gym Shoes,,
https://www.decathlon.in/p/8367617/men-s-warm-and-waterproof-hiking-boots-nh100-high-black,"Men’s warm and waterproof hiking boots, NH100 High - Black",SPORTS FOOTWEAR > Shoes > Hiking Shoes,,
https://www.decathlon.in/p/8381475/men-running-shoes-comfort-fit-upto-10km-week-run-active-slate-grey,"Men Running Shoes Comfort Fit, Upto 10km/week, Run Active - Slate Grey",SPORTS FOOTWEAR > Shoes > Running Shoes,,
https://www.decathlon.in/p/8486177/men-walking-shoes-with-breathable-mesh-cushioning-pw-100-grey,"Men Walking Shoes with Breathable Mesh, Cushioning, PW 100 - Grey",SPORTS FOOTWEAR > Shoes > Walking Shoes,,
https://www.decathlon.in/p/8502616/men-s-warm-and-waterproof-hiking-boots-sh500-mountain-mid,,,,
https://www.decathlon.in/p/8502824/men-walking-shoes-with-breathable-mesh-cushioning-pw-100-black,,,,
https://www.decathlon.in/p/8503792/men-low-ankle-waterproof-hiking-shoes-with-non-slip-outsole-blue-mh100,Men Low Ankle Waterproof Hiking Shoes with Non-Slip Outsole Blue - MH100,SPORTS FOOTWEAR > Shoes > Hiking Shoes,,
https://www.decathlon.in/p/8503796/men-low-ankle-waterproof-hiking-shoes-with-non-slip-outsole-grey-mh100,Men Low Ankle Waterproof Hiking Shoes with Non-Slip Outsole Grey - MH100,SPORTS FOOTWEAR > Shoes > Hiking Shoes,,
https://www.decathlon.in/p/8544960/men-warm-waterproof-hiking-boots-nh500-mid-brown,"Men warm, waterproof hiking boots, NH500 Mid - Brown",SPORTS FOOTWEAR > Shoes > Hiking Shoes,,
https://www.decathlon.in/p/8550247/men-waterproof-trekking-shoes-high-ankle-with-contact-grip-khaki-mt100,Men Waterproof Trekking Shoes High Ankle with CONTACT® Grip Khaki - MT100,SPORTS FOOTWEAR > Shoes > Snow Boots And Snow Shoes,,
https://www.decathlon.in/p/8553119/men-mid-ankle-waterproof-hiking-shoes-with-non-slip-outsole-black-mh100,Men Mid Ankle Waterproof Hiking Shoes with Non-Slip Outsole Black - MH100,SPORTS FOOTWEAR > Shoes > Hiking Shoes,,
https://www.decathlon.in/p/8553121/men-mid-ankle-waterproof-hiking-shoes-with-non-slip-outsole-khaki-mh100,Men Mid Ankle Waterproof Hiking Shoes with Non-Slip Outsole Khaki - MH100,SPORTS FOOTWEAR > Shoes > Hiking Shoes,,
https://www.decathlon.in/p/8319097/men-waterproof-trekking-shoes-mid-ankle-with-cross-contact-grip-grey-mt100,Men Waterproof Trekking Shoes Mid Ankle with Cross-Contact Grip Grey - MT100,SPORTS FOOTWEAR > Shoes > Waterproof Shoes,,
https://www.decathlon.in/p/8351755/men-running-shoes-everyday-shoes-with-cushioning-ekiden-one-grey,,,,
