Product_URL,Category,Gender
https://www.decathlon.in/p/8350125/kids-football-socks-f100-white,Kids Footwear,Boys
https://www.decathlon.in/p/8350125/kids-football-socks-f100-white,Kids Footwear,Girls
https://www.decathlon.in/p/8351660/kids-tennis-non-marking-velcro-shoe-dark-blue,Kids Footwear,Boys
https://www.decathlon.in/p/8351660/kids-tennis-non-marking-velcro-shoe-dark-blue,Kids Footwear,Girls
https://www.decathlon.in/p/8351800/women-running-shoes-lightweight-run-100-grey,Ordinary,Women
https://www.decathlon.in/p/8351800/women-running-shoes-lightweight-run-100-grey,Sport Shoes,Women
https://www.decathlon.in/p/8367538/women-mid-ankle-winter-shoes-with-waterproofing-black-sh100,Ordinary,Women
https://www.decathlon.in/p/8367538/women-mid-ankle-winter-shoes-with-waterproofing-black-sh100,Sport Shoes,Women
https://www.decathlon.in/p/8368186/kids-soft-trainers-water-repellent-rip-tab-shoe-soft-140-blue,Kids Footwear,Boys
https://www.decathlon.in/p/8368186/kids-soft-trainers-water-repellent-rip-tab-shoe-soft-140-blue,Kids Footwear,Girls
https://www.decathlon.in/p/8397090/women-low-ankle-waterproof-hiking-shoes-with-non-slip-outsole-grey-mh100,Ordinary,Women
https://www.decathlon.in/p/8397090/women-low-ankle-waterproof-hiking-shoes-with-non-slip-outsole-grey-mh100,Sport Shoes,Women
https://www.decathlon.in/p/8403098/kids-walking-velcro-shoes-100-grey,Kids Footwear,Boys
https://www.decathlon.in/p/8403098/kids-walking-velcro-shoes-100-grey,Kids Footwear,Girls
https://www.decathlon.in/p/8403427/kids-walking-velcro-shoes-100-black,Kids Footwear,Boys
https://www.decathlon.in/p/8403427/kids-walking-velcro-shoes-100-black,Kids Footwear,Girls
https://www.decathlon.in/p/8486214/kids-unisex-slip-on-shoes-pw-500-fresh-turquoise,Kids Footwear,Boys
https://www.decathlon.in/p/8486214/kids-unisex-slip-on-shoes-pw-500-fresh-turquoise,Kids Footwear,Girls
https://www.decathlon.in/p/8486647/kids-soft-trainers-water-repellent-rip-tab-shoe-soft-140-smoked-black,Kids Footwear,Boys
https://www.decathlon.in/p/8486647/kids-soft-trainers-water-repellent-rip-tab-shoe-soft-140-smoked-black,Kids Footwear,Girls
https://www.decathlon.in/p/8488757/run-cushion-comfortale-lite-antislip-women-running-shoes-turquoise-green,Ordinary,Women
https://www.decathlon.in/p/8488757/run-cushion-comfortale-lite-antislip-women-running-shoes-turquoise-green,Sport Shoes,Women
